Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
IL 1B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Rabu,14,18.45 - 19.30,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
IL 1B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Kamis,4,09.35 - 10.20,433-241-106,Instrumentasi & Alat Ukur,"Achmad Hardito, B.Tech., M.Kom.",SBII/01,AH
IL 1B,Kamis,5,10.20 - 11.05,433-241-106,Instrumentasi & Alat Ukur,"Achmad Hardito, B.Tech., M.Kom.",SBII/01,AH
IL 1B,Kamis,6,11.05 - 11.50,433-241-106,Instrumentasi & Alat Ukur,"Achmad Hardito, B.Tech., M.Kom.",SBII/01,AH
IL 1B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Kamis,7,12.30 - 13.15,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
IL 1B,Kamis,8,13.15 - 14.00,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
IL 1B,Kamis,9,14.00 - 14.45,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
IL 1B,Jumat,1,07.00 - 07.45,433-241-101,Bahasa Inggris,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",SBI/06,"DA, DAV"
IL 1B,Jumat,2,07.45 - 08.30,433-241-101,Bahasa Inggris,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",SBI/06,"DA, DAV"
IL 1B,Jumat,8,13.15 - 14.00,433-241-103,Fisika Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 1B,Jumat,9,14.00 - 14.45,433-241-103,Fisika Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 1B,Jumat,10,14.45 - 15.30,433-241-103,Fisika Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 1C,Senin,3,08.30 - 09.15,433-241-101,Bahasa Inggris,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",SBII/01,"DA, DAV"
IL 1C,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Senin,4,09.35 - 10.20,433-241-101,Bahasa Inggris,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",SBII/01,"DA, DAV"
IL 1C,Senin,5,10.20 - 11.05,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",SBII/01,AJ
IL 1C,Senin,6,11.05 - 11.50,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",SBII/01,AJ
IL 1C,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Senin,7,12.30 - 13.15,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",SBII/01,AJ
IL 1C,Senin,8,13.15 - 14.00,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",SBII/01,AJ
IL 1C,Senin,9,14.00 - 14.45,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",SBII/01,AJ
IL 1C,Senin,10,14.45 - 15.30,433-241-104,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",SBII/01,AJ
IL 1C,Selasa,1,07.00 - 07.45,433-241-105,Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",SBI/08,AR
IL 1C,Selasa,2,07.45 - 08.30,433-241-105,Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",SBI/08,AR
IL 1C,Selasa,3,08.30 - 09.15,433-241-105,Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",SBI/08,AR
IL 1C,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1C,Selasa,7,12.30 - 13.15,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBII/01,LE
